name	class	description
HNF4	Transcription Factor	HNF4 Transcription Factor Binding
HNF4A	Transcription Factor	HNF4A Transcription Factor Binding
HNF4G	Transcription Factor	HNF4G Transcription Factor Binding
HSF1	Transcription Factor	HSF1 Transcription Factor Binding
Ini1	Transcription Factor	Ini1 Transcription Factor Binding
IRF4	Transcription Factor	IRF4 Transcription Factor Binding
Junb	Transcription Factor	Junb Transcription Factor Binding
Jund	Transcription Factor	Jund Transcription Factor Binding
Klf4	Transcription Factor	Klf4 Transcription Factor Binding
Max	Transcription Factor	Max Transcription Factor Binding
MEF2A	Transcription Factor	MEF2A Transcription Factor Binding
MEF2C	Transcription Factor	MEF2C Transcription Factor Binding
MOF	Transcription Factor	MOF Transcription Factor Binding
MDL	Transcription Factor	Mad-Like Transcription Factor Binding
mxl-1::mdl-1	Transcription Factor Complex	mxl-1::mdl-1 Binding
Nanog	Transcription Factor	Nanog Transcription Factor Binding
negative	DNA	negative library
NELFe	Transcription Factor	Jund Transcription Factor Binding
Nfe2	Transcription Factor	Nfe2 Transcription Factor Binding
NFKB	Transcription Factor	NFKB Transcription Factor Binding
Nfya	Transcription Factor	Nfya Transcription Factor Binding
Nfyb	Transcription Factor	Nfyb Transcription Factor Binding
nMyc	Transcription Factor	nMyc Transcription Factor Binding
Non-Gene Associated	Regulatory Feature	Non-Gene like regulatory feature
NR1H2	 Transcription Factor	   NR1H2 Transcription Factor Binding
NR4A1	Transcription Factor	NR4A1 Transcription Factor Binding
Nrf1	Transcription Factor	Nrf1 Transcription Factor Binding
Nrsf	Transcription Factor	Nrsf Transcription Factor Binding
Oct4	Transcription Factor	Oct4 Transcription Factor Binding
p300	Transcription Factor	p300 Transcription Factor Binding
Pax5	Transcription Factor	Pax5 Transcription Factor Binding
Pbx3	Transcription Factor	Pbx3 Transcription Factor Binding
PCAF	Transcription Factor	PCAF Transcription Factor Binding
PGC1A	Transcription Factor	PGC1A Transcription Factor Binding
PolIII	Polymerase	RNA Polymerase III Binding
PolIII Transcription Associated	Regulatory Feature	PolIII transcribed RNA Gene associated regulatory feature
PolII	Polymerase 	RNA Polymerase II
POU2F2	Transcription Factor	POU2F2 Transcription Factor Binding
POU5F1	Transcription Factor	POU5F1 Transcription Factor Binding
PPARG	Transcription Factor	PPARG Transcription Factor Binding
PPARG::RXRA	Transcription Factor Complex	PPARG::RXRA Binding
Promoter Associated	Regulatory Feature	Promoter like regulatory feature
PU1	Transcription Factor	PU1 Transcription Factor Binding
Rad21	Transcription Factor	Rad21 Transcription Factor Binding
RegulatoryFeature	Regulatory Feature	Ensembl regulatory feature
Rabbit-IgG	DNA	Control
RARA	Transcription Factor	RARA Transcription Factor Binding
Rbbp5	Transcription Factor	Rbbp5 Transcription Factor Binding
RNR1H2::RXRA	Transcription Factor Complex	RNR1H2::VDR Binding
RPC155	Transcription Factor	RPC155 Transcription Factor Binding
RXR::RAR_DR5	Transcription Factor Complex	RXR::RAR_DR5 Binding
RXRA	Transcription Factor	RXRA Transcription Factor Binding
RXRA::VDR	Transcription Factor Complex	RXRA::VDR Binding
SETDB1	Transcription Factor	SETDB1 Transcription Factor Binding
Sin3Ak20	Transcription Factor	Sin3Ak20 Transcription Factor Binding
Sirt6	Transcription Factor	Sirt6 Transcription Factor Binding
SIX5	Transcription Factor	SIX5 Transcription Factor Binding
Smad1	Transcription Factor	Smad1 Transcription Factor Binding
Sox2	Transcription Factor	Sox2 Transcription Factor Binding
SP1	Transcription Factor	SP1 Transcription Factor Binding
SP2	Transcription Factor	SP2 Transcription Factor Binding
SRebp1	Transcription Factor	SRebp1 Transcription Factor Binding
SRebp2	Transcription Factor	SRebp2 Transcription Factor Binding
Srf	Transcription Factor	Srf Transcription Factor Binding
STAT1	Transcription Factor	STAT1 Transcription Factor Binding  
STAT2	Transcription Factor	STAT1 Transcription Factor Binding  
STAT3	Transcription Factor	STAT3 Transcription Factor Binding
Suz12	Transcription Factor	Suz12 Transcription Factor Binding
TAF1	Transcription Factor	TAF1 Transcription Factor Binding
TAF7	Transcription Factor	TAF7 Transcription Factor Binding
Tal1::Gata1	Transcription Factor Complex	Tal1::Gata1 Binding
Tal1	Transcription Factor	Tal1 Transcription Factor Binding
Tcf4	Transcription Factor	Tcf4 Transcription Factor Binding
Tcf12	Transcription Factor	Tcf12 Transcription Factor Binding
Tcfcp2l1	Transcription Factor	Tcfcp2l1 Transcription Factor Binding
TFBS Motif	Transcription Factor	Transcription factor binding site motif
TFIIIC-110	Transcription Factor	TFIIIC-110 Transcription Factor Binding
THAP1	Transcription Factor	THAP1 Transcription Factor Binding
Tip60	Transcription Factor	Tip60 Transcription Factor Binding
Tr4	Transcription Factor	Tr4 Transcription Factor Binding
Unclassified - Cell type specific	Regulatory Feature	Cell type specific unclassified regulatory feature
Unclassified	Regulatory Feature	Unclassified regulatory feature
USF1	Transcription Factor	USF1 Transcription Factor Binding
USF2	Transcription Factor	USF2 Transcription Factor Binding
VDR	Transcription Factor	VDR Transcription Factor Binding
WCE	DNA	Whole Cell Extract
Wdr5	Transcription Factor	Wdr5 Transcription Factor Binding
XRCC4	Transcription Factor	XRCC4 Transcription Factor Binding
Yy1	Transcription Factor	Yy1 Transcription Factor Binding
ZBTB33	Transcription Factor	ZBTB33 Transcription Factor Binding
ZBTB7A	Transcription Factor	ZBTB7A Transcription Factor Binding
ZEB1	Transcription Factor	ZEB1 Transcription Factor Binding
Zfx	Transcription Factor	Zfx Transcription Factor Binding
Znf263	Transcription Factor	Znf263 Transcription Factor Binding
ZNF274	Transcription Factor	ZNF274 Transcription Factor Binding
ZZZ3	Transcription Factor	ZZZ3 Transcription Factor Binding
