2018-10-18 07:46:37.731464	https://www.encodeproject.org/report/?type=ReferenceEpigenome&field=accession&field=biosample_term_name&field=related_datasets.assay_term_name&field=description&field=award.project&field=status&field=related_datasets.replicates.library.biosample.organism.scientific_name&field=dbxrefs&field=assay_term_id&field=biosample_type&field=assay_synonyms&field=biosample_term_id&field=biosample_synonyms&limit=all
Accession	Biosample term	Assay Type	Description	Project	Status	Species	External identifiers	Assay term id	Biosample type	Assay synonyms	Biosample term id	Biosample synonyms
ENCSR200EJX	caudate nucleus	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Brain Anterior Caudate using donors/samples:112; 149	Roadmap	released	Homo sapiens	IHEC:IHECRE00000991.1	OBI:0000716,OBI:0001862	tissue	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0001873	nucleus caudatus,Entire caudate nucleus,caudatus
ENCSR856EKB	foreskin fibroblast	ChIP-seq,microRNA-seq,RNA-seq,DNase-seq,MRE-seq,MeDIP-seq	REMC Epigenome (Class 3) for Foreskin Fibroblast Primary Cells using donors/samples:skin01	Roadmap	released	Homo sapiens	IHEC:IHECRE00000956.1	OBI:0000716,OBI:0001922,OBI:0000693,OBI:0001853,OBI:0001271,OBI:0001861	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,DNase-seq,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:1001608	BJ fibroblast
ENCSR693OUQ	intestine	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference epigenome for mouse intestine (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001824.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000160	Entire intestine,bowel
ENCSR738OYT	neural stem progenitor cell	ChIP-seq,RRBS	REMC Epigenome (Class 5) for H9 Derived Neuronal Progenitor Cultured Cells using donors/samples:113	Roadmap	released	Homo sapiens	IHEC:IHECRE00000990.1	OBI:0000716,OBI:0001862	in vitro differentiated cells	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0000047	NSC,neural stem cell,neural stem progenitor cell
ENCSR107PPJ	angular gyrus	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Brain Angular Gyrus using donors/samples:112;149	Roadmap	released	Homo sapiens	IHEC:IHECRE00001048.1	OBI:0000716,OBI:0001862	tissue	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0002686	preoccipital gyrus,middle part of inferior parietal lobule
ENCSR403RCR	foreskin fibroblast	microRNA-seq,RNA-seq,MRE-seq,MeDIP-seq,ChIP-seq,DNase-seq	REMC Epigenome (Class 3) for Foreskin Fibroblast Primary Cells using donors/samples:skin02	Roadmap	released	Homo sapiens	IHEC:IHECRE00001033.1	OBI:0000716,OBI:0001922,OBI:0000693,OBI:0001853,OBI:0001271,OBI:0001861	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,DNase-seq,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:1001608	BJ fibroblast
ENCSR400ILZ	stomach	DNase-seq,ChIP-seq	REMC Epigenome (Class 5) for Fetal Stomach using donors/samples:H-24639;H-24683;H-24754;H-24776	Roadmap	released	Homo sapiens	IHEC:IHECRE00000993.1	OBI:0001853,OBI:0000716	tissue	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	UBERON:0000945	mesenteron,gaster,Entire stomach,stomach chamber,ventriculus,Ventricular,anterior intestine
ENCSR164GGZ	mesenchymal stem cell	ChIP-seq,RNA-seq,DNase-seq,whole-genome shotgun bisulfite sequencing	REMC Epigenome (Class 1) for H1 Derived Mesenchymal Stem Cells using donors/samples:MSC-01;MSC-02	Roadmap	released	Homo sapiens	IHEC:IHECRE00000943.1	OBI:0000716,OBI:0001853,OBI:0001271,OBI:0001863	in vitro differentiated cells	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	EFO:0000586	conditioned mesenchymal stem cell
ENCSR377TON	fibroblast of dermis,foreskin fibroblast	ChIP-seq,DNase-seq,RRBS	REMC Epigenome (ENCODE) for Adult Dermal Fibroblast Primary Cells using donors/samples:NHDF-Ad	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001862	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq,RRBS assay,reduced representation bisulfite sequencing assay	CL:1001608,CL:0002551	dermal fibroblast,BJ fibroblast
ENCSR841LMD	peripheral blood mononuclear cell	microRNA-seq,RNA-seq,ChIP-seq	REMC Epigenome (Class 4) for Primary Mononuclear Cells from Peripheral Blood using donors/samples:TC010;TC012	Roadmap	released	Homo sapiens	IHEC:IHECRE00001024.1	OBI:0000716,OBI:0001271,OBI:0001922	primary cell	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,microRNA-seq,RNA-seq assay,microRNA profiling by high throughput sequencing assay,transcription profiling by high throughput sequencing	CL:2000001	
ENCSR250AOK	stomach	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,RNA-seq	Reference epigenome for mouse stomach (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001789.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000945	mesenteron,gaster,Entire stomach,stomach chamber,ventriculus,Ventricular,anterior intestine
ENCSR227NHZ	naive thymus-derived CD4-positive, alpha-beta T cell	microRNA-seq,RNA-seq,MeDIP-seq,MRE-seq,ChIP-seq	REMC Epigenome (Class 4) for Primary T Helper Naive Cells from Peripheral Blood using donors/samples:Donor_100_7_pooled_leukopaks_Jan_7_2011; Donor_101_8_pooled_leukopaks_Jan_20_2011; TC001	Roadmap	released	Homo sapiens	IHEC:IHECRE00001036.1	OBI:0000716,OBI:0001271,OBI:0001861,OBI:0001922,OBI:0000693	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,RNA-seq assay,MRE-seq,microRNA profiling by high throughput sequencing assay,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T-cell,Th0,naive thymus-derived CD4-positive, alpha-beta T-lymphocyte,naive thymus-derived CD4-positive, alpha-beta T lymphocyte,T.4Nve.Sp
ENCSR827DHS	stomach	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference Epigenome for mouse stomach (embryonic 16.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001835.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000945	mesenteron,gaster,Entire stomach,stomach chamber,ventriculus,Ventricular,anterior intestine
ENCSR222DSV	chondrocyte	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells using donors/samples:57; 58; 59; 60	Roadmap	released	Homo sapiens	IHEC:IHECRE00001028.1	OBI:0000716,OBI:0001862	in vitro differentiated cells	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0000138	cartilage cell
ENCSR537GED	fibroblast of lung	RNA-seq,DNase-seq,ChIP-seq	Reference Epigenome of fibroblast of lung	ENCODE	released	Homo sapiens	IHEC:IHECRE00001883.1	OBI:0001853,OBI:0000716,OBI:0001271	primary cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	CL:0002553	fibroblast of lung,NHLF
ENCSR038RGI	mesenchymal stem cell	ChIP-seq	REMC Epigenome (Class 5) for Adipose Derived Mesenchymal Stem Cell Cultured Cells using donors/samples:1;92;93	Roadmap	released	Homo sapiens	IHEC:IHECRE00001040.1	OBI:0000716	in vitro differentiated cells	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	EFO:0000586	conditioned mesenchymal stem cell
ENCSR677MBX	iPS-18a,iPS-18c,iPS-18b	RRBS,ChIP-seq,transcription profiling by array assay	REMC Epigenome (Class 4) for iPS-18 Cells using donors/samples:39791;46575;46576;46578;46579;46580;BioSam_173	Roadmap	released	Homo sapiens	IHEC:IHECRE00001055.1	OBI:0000716,OBI:0001862,OBI:0001463	induced pluripotent stem cell line	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	EFO:0007106,EFO:0007105,EFO:0007107	
ENCSR966OVF	adipocyte	ChIP-seq	REMC Epigenome (Class 5) for Mesenchymal Stem Cell Derived Adipocyte Cultured Cells using donors/samples:92;93	Roadmap	released	Homo sapiens	IHEC:IHECRE00000968.1	OBI:0000716	in vitro differentiated cells	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000136	adipocyte,adipose cell,lipocyte
ENCSR835OVT	CH12.LX	ChIP-seq,RNA-seq,DNase-seq	Reference Epigenome for mouse CH12.LX cell line	ENCODE	released	Mus musculus	IHEC:IHECRE00001837.1	OBI:0000716,OBI:0001853,OBI:0001271	cell line	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	EFO:0005233	CH12.LX cell
ENCSR948ZKZ	CD4-positive, alpha-beta T cell	ChIP-seq	REMC Epigenome (Class 5) for Primary T Helper Cells from Peripheral Blood using donors/samples:62;332	Roadmap	released	Homo sapiens	IHEC:IHECRE00000973.1	OBI:0000716	primary cell	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000624	CD4-positive, alpha-beta T lymphocyte,CD4-positive, alpha-beta T-cell,CD4-positive, alpha-beta T-lymphocyte
ENCSR629UDB	hindbrain	ATAC-seq,microRNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference epigenome for mouse hindbrain (embryonic 13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001820.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002028	Hindbrain structure,rhombencephalon
ENCSR155HHQ	neuron	ChIP-seq,RRBS	REMC Epigenome (Class 5) for H9 Derived Neuron Cultured Cells using donors/samples:113	Roadmap	released	Homo sapiens	IHEC:IHECRE00001038.1	OBI:0000716,OBI:0001862	in vitro differentiated cells	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0000540	neuronal cell,nerve cell,neuron cell
ENCSR068MRQ	HeLa-S3	ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,DNase-seq	Reference Epigenome of HeLa-S3	ENCODE	released	Homo sapiens	IHEC:IHECRE00001851.1	OBI:0000716,OBI:0001853,OBI:0001271,OBI:0001863	cell line	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	EFO:0002791	
ENCSR911FIM	forebrain	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference epigenome for mouse forebrain (embryonic 13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001848.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001890	Entire prosencephalon,prosencephalon
ENCSR337XXD	common myeloid progenitor, CD34-positive	transcription profiling by array assay,RRBS,ChIP-seq,DNase-seq	REMC Epigenome (Class 3) for Primary hematopoietic Stem Cells G-CSF-mobilized Male using donors/samples:RO_01562	Roadmap	released	Homo sapiens	IHEC:IHECRE00000989.1	OBI:0000716,OBI:0001862,OBI:0001853,OBI:0001463	primary cell	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq,RRBS assay,reduced representation bisulfite sequencing assay	CL:0001059	common myeloid precursor, CD34-positive
ENCSR532GIR	K562	ChIP-seq,RRBS,DNase-seq,RNA-seq	REMC Epigenome (ENCODE) for Leukemia Cells using donors/samples:K562	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001862,OBI:0001853,OBI:0001271	cell line	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	EFO:0002067	K-562,K-562 cell, K562 cell
ENCSR909IQE	midbrain	ATAC-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq,RNA-seq,microRNA-seq	Reference Epigenome for mouse midbrain (embryonic 13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001847.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001891	mesencephalon,Entire midbrain
ENCSR977QPF	GM12878	ChIP-seq,DNase-seq,RRBS,RNA-seq	REMC Epigenome (ENCODE) for Lymphoblastoid Cells using donors/samples:GM12878	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001862,OBI:0001271	cell line	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	EFO:0002784	
ENCSR589ATA	iPS DF 19.11	ChIP-seq,whole-genome shotgun bisulfite sequencing,DNase-seq,transcription profiling by array assay	REMC Epigenome (Class 2) for iPS DF 19.11 Cells using donors/samples:iPS-19.11-01; iPS-19.11-02	Roadmap	released	Homo sapiens	IHEC:IHECRE00000997.1	OBI:0000716,OBI:0001853,OBI:0001463,OBI:0001863	induced pluripotent stem cell line	RNA profiling by array assay,transcription profiling by array assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,shotgun bisulfite-seq assay	EFO:0007096	
ENCSR978OBA	mammary epithelial cell	ChIP-seq,DNase-seq,RRBS,RNA-seq	REMC Epigenome (ENCODE) for Mammary Epithelial Primary Cells using donors/samples:HMEC	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001862,OBI:0001271	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	CL:0002327	mammary epithelial cell,breast epithelial cell
ENCSR663TPA	skeletal muscle myoblast	RNA-seq,ChIP-seq,DNase-seq,RRBS	REMC Epigenome (ENCODE) for Skeletal Muscle Myoblasts Cells using donors/samples:HSMM	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001862,OBI:0001271	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	CL:0000515	skeletal myoblast,HSMM
ENCSR256OEH	SK-N-SH	ChIP-seq,RRBS,RNA-seq,DNase-seq	Reference Epigenome of SK-N-SH	ENCODE	archived	Homo sapiens	IHEC:IHECRE00003699.1	OBI:0000716,OBI:0001862,OBI:0001853,OBI:0001271	cell line	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	EFO:0003072	SKNSH
